,track_name,artist_name,release_date,id_track,popularity,genero
0,"Good Luck, Babe!",Chappell Roan,2024-04-05,0WbMK4wrZ1wFSty9F7FCgu,89,indie
1,La Torre Picasso,Arde Bogotá,2024-09-13,2Czaw41IWZLz5JxwLueamL,58,indie
2,SORT DE TU,Oques Grasses,2024-04-12,054BhpaxELmhu24ECqU8un,58,indie
3,Too Sweet,Hozier,2024-08-19,19XpFsce28aByvCC4g89tJ,80,indie
4,Contigo,Travis Birds,2024-09-30,7544xWBdEiTDXNMOslks1N,53,indie
5,Contradicción,"Love of Lesbian, Rigoberta Bandini",2024-10-11,1lPtRKnoleAVN1mAlGpcZa,53,indie
6,TOCA,"Oques Grasses, Figa Flawas",2024-04-12,62E6Lo5E3E3y21oQqPwdpD,51,indie
7,CÓRRER PELS CAMPS,Oques Grasses,2024-04-12,7aCZM1ApvudN9LTlzgiyAu,50,indie
8,No One Noticed,The Marías,2024-05-31,3siwsiaEoU4Kuuc9WKMUy5,85,indie
9,JA DORMIRÉ,"La Fúmiga, Figa Flawas",2024-02-23,1TewcrGBlkDAMhehfn0eHh,49,indie
10,La Orilla,Viva Suecia,2024-04-18,3dFqQse30uPsmAWjw67dql,49,indie
11,La Vida Cañón,Alcalá Norte,2024-04-17,6ou443eT6aXOCxcX9Jrnee,49,indie
12,The Line (from the series Arcane League of Legends),"Arcane, Twenty One Pilots",2024-11-23,1QJbDTZAO8rpGOMG4UahFM,75,indie
13,COM EL DIA I LA NIT,"Oques Grasses, Julieta",2024-04-12,4oITtKgZh6lPRM1JSEb4sX,48,indie
14,MOLTA TRALLA,Oques Grasses,2024-04-12,3WqsYnIplEVhnsPp9oUnIf,47,indie
15,Real Man,beabadoobee,2024-08-09,0OpC8hRrbsh24taKOsQBEX,80,indie
16,KINTSUGI,HUMBE,2024-09-26,1qbql17v0Hazo94o5RUyWQ,66,indie
17,Alegría De Vivir,Viva Suecia,2024-04-14,0DZKI5SsFVwi4xQSL7UhQO,46,indie
18,COVARDS,"La Fúmiga, The Tyets",2024-02-23,19herHhe8mbbOMYILYWGnw,45,indie
19,Reza por Mi,Siloé,2024-09-20,4HVF5hzwZlnxdfyF9maXc6,45,indie
20,Alas,Shinova,2024-03-01,4qSvLmGMY5fhZoOPQ3AzV8,45,indie
21,Fantastic (from the series Arcane League of Legends),"Arcane, King Princess",2024-11-23,071uK6V3dKj3BMNNzTEyRu,71,indie
22,Només viure,Ginestà,2024-10-17,1JElpM8NFE6PzsTRkca0ru,45,indie
23,JUBILAR-ME,Oques Grasses,2024-04-12,5NnVYDzchKktmiDCGZgvtd,44,indie
24,La hermandad,Love of Lesbian,2024-10-11,0Zso6LrlkwBbd5Lm7PLLsS,45,indie
25,Too Sweet,Hozier,2024-03-22,3HMY0r2BAdpasXMY8rseR0,74,indie
26,PINGPONG,Oques Grasses,2024-04-12,51dp4qTtM4DuAKcmkU8dxi,44,indie
27,Si Muriera Mañana,Rigoberta Bandini,2024-09-27,2k9vyqxVXnazhLPt6XvlV4,44,indie
28,Wasteland (from the series Arcane League of Legends),"Arcane, Royal & the Serpent",2024-11-23,5r9OlaHzqlOKkFAv0q5Gm3,69,indie
29,La Calle Elfo,Alcalá Norte,2024-04-17,4f2B5SZWn5olTURp1kFujm,44,indie
30,La Champions y el Mundial (feat. Leiva),"Love of Lesbian, Leiva",2024-10-11,192fvtOqfBfJCjFofWbDEW,45,indie
31,Lady Killers II,G-Eazy,2024-03-17,068AyhyvE67qMRsMXLqAnd,75,indie
32,Días de Mierda,Sexy Zebras,2024-06-28,2Stwhp9r7OnAQeNOx5Hfej,43,indie
33,Berlín,Shinova,2024-03-01,0vzGBon9LG9CoXkOWlFdx0,43,indie
34,¿Qué vas a saber?,"Love of Lesbian, Amaral",2024-10-11,6EHSl5khd8W1bfmj6oubgu,43,indie
35,Se Te Hizo Tarde,"Joanna Crass, Lu Decker",2024-03-22,6kOgHbgg7Vyd6ElA7kLnT9,45,indie
36,"She’s Gone, Dance On",Disclosure,2024-05-29,29I9dv9Nq704w0Oc5yFGsR,69,indie
37,GOSSEJAR,"Oques Grasses, Al·lèrgiques al pol·len",2024-04-12,68lFXYmWH2q3rz2qluwVI5,41,indie
38,Juna,Clairo,2024-07-12,2mWfVxEo4xZYDaz0v7hYrN,76,indie
39,Lejos de Ti,The Marías,2024-05-31,0phzfJn8NeT1LkbqfV2peI,71,indie
40,FINALS,La Fúmiga,2024-02-23,189C6SgHRUP3GQlp7kezlI,41,indie
41,La Sangre del Pobre,Alcalá Norte,2024-04-17,5KRSwJxQZxNiYau7NyPUxl,41,indie
42,Los Chavales,Alcalá Norte,2024-04-17,0hnBLEpln0wSIsbvxeWQoO,41,indie
43,La Salvación,"Arde Bogotá, Bunbury",2024-04-10,6XY4Zaf0AoE5movPc2FfaZ,44,indie
44,Routines In The Night,Twenty One Pilots,2024-05-24,4bDIAWaOBGAAk95nyXI6zJ,69,indie
45,Contradicción,"Love of Lesbian, Rigoberta Bandini",2024-04-26,2vCQG5PSjoJnfFnij0TdAc,41,indie
46,Hellfire (from the series Arcane League of Legends),"Arcane, FEVER 333",2024-11-23,1aFVWIGU2MUJXaRqcxEaBQ,66,indie
47,Harpy Hare,Yaelokre,2024-01-04,35I2E525yJpUQ5ZJgfxizT,71,indie
48,ARRANCÁRMELO,WOS,2024-03-21,2GNjjWYymmIS8HEC4Xp2eu,58,indie
49,Un piset amb tu,"Ginestà, Niña Polaca",2024-02-09,2F2wKfKXKTLihpHgP2Uevw,39,indie
