,track_name,artist_name,release_date,id_track,popularity,genero
0,Se Pone Las Nike,Cano,2024-10-24,6aO53Wsz32bgMBytw6pIYm,70,rap
1,Not Like Us,Kendrick Lamar,2024-05-04,6AI3ezQ4o3HUoP6Dhudph3,92,rap
2,The Sound of Silence - CYRIL Remix,"Disturbed, CYRIL",2024-02-02,1LY3GhF0zxIVgbYEQjCbUO,78,rap
3,haz lo que quieras conmigo,Walls,2024-09-20,635oxQ6Vn3ynUUg6EfQKw9,56,rap
4,LA ÚLTIMA,Quevedo,2024-02-01,2qHvD3r5qu4wuPpvq3CQKb,59,rap
5,Perdió Este Culo,Bad Gyal,2024-01-26,1bmIRafMOhUKsnZE7haw2u,60,rap
6,Una Foto Remix (feat. Emilia),"Mesita, Nicki Nicole, Tiago PZK, Emilia",2024-01-05,1kqH58eGh2ZTOHwqBIB2tM,69,rap
7,Escondido En Tu Habitación,"Cano, J Abecia",2024-05-16,07OLx89vaTXX00RTDFwhnI,55,rap
8,Tu Juguete,Cano,2024-10-24,27te53q2oGOBWPw9TbvAtu,55,rap
9,Orgullosa De Papá,"Cano, Rvfv",2024-10-24,5zRbKyT1z1TsYOVy1aLLtf,55,rap
10,Conexión,"Cano, JC Reyes",2024-10-24,2znYZuZsjd52WgMkp6iVwL,54,rap
11,Conexión,"Cano, JC Reyes",2024-10-10,1o2Emfl8HNQwgrWgmBc9ue,54,rap
12,Chulo pt.2,"Bad Gyal, Tokischa, Young Miko",2024-01-26,1NCF4UUsuT6Xzw2Zxd43PJ,65,rap
13,PINKY PROMISE,La Pantera,2024-09-27,4mBIls9yfhL63arD3TvvTC,53,rap
14,The Emptiness Machine,Linkin Park,2024-09-05,2PnlsTsOTLE5jnBnNe2K0A,78,rap
15,A Bar Song (Tipsy),Shaboozey,2024-04-12,2FQrifJ1N335Ljm3TjTVVf,82,rap
16,ASHE,La Pantera,2024-09-27,0d2QCzEJzbxdm2C4PBKMn4,50,rap
17,Otra Vez Más,Bad Gyal,2024-01-26,6E5iXFRORBnSpVtN4DHYBj,52,rap
18,Orgullosa De Papá,"Cano, Rvfv",2024-09-26,3lLIUWnUhRTsd5FmG2jRJT,49,rap
19,ESTE,"El Alfa, Nfasis",2024-07-04,0GfWTZZOc7co6oVqyQ556l,68,rap
20,rang€ rov€r,Cruz Cafuné,2024-07-19,4LTskvAmlxrxHaezDLTAFf,49,rap
21,A Las 12,"Ptazeta, Omar Montes",2024-06-20,0btPVfNIE43s6ZFtp0GgVh,49,rap
22,Like That,"Future, Metro Boomin, Kendrick Lamar",2024-03-22,2tudvzsrR56uom6smgOcSf,82,rap
23,9X19 - Remix,"Slayter, Hades66, Bryant Myers",2024-07-09,0Q8cAuAymRXibeXAsGQre6,56,rap
