,track_name,artist_name,release_date,id_track,popularity,genero
0,Cuando Nadie Ve,Morat,2018-10-25,71iAechwVKGu26pahzFL0k,74,pop
1,Besos En Guerra,"Morat, Juanes",2018-10-25,1mlGScrDQqHqmhdIqE8MmA,74,pop
2,Qué Bonito Es Querer,Manuel Carrasco,2018-12-07,6uzGmmQ4CuG9HvZktEy0LF,60,pop
3,No Se Va,Morat,2018-10-25,4khWEpnaijN0G1x019Uzdr,74,pop
4,Always Remember Us This Way,Lady Gaga,2018-10-05,2rbDhOo9Fh61Bbu23T2qCk,80,pop
5,Destino o casualidad,"Melendi, Ha*Ash",2018-05-01,2sMxswHr9wX7kTUHULvJBJ,69,pop
6,Shallow,"Lady Gaga, Bradley Cooper",2018-10-05,2VxeLyX666F8uXCJ0dZF8B,79,pop
7,Presiento,"Morat, Aitana",2018-10-25,2V4hc5gplg7EXlrRUvD4rp,67,pop
8,lovely (with Khalid),"Billie Eilish, Khalid",2018-04-19,0u2P5u6lvoDfwTYjAADbn4,83,pop
9,Perdona (Ahora Sí Que Sí),"Carolina Durante, Amaia",2018-11-23,1AODZVWUeYlsKoFTo2iyEA,55,pop
10,Traicionera,Sebastian Yatra,2018-05-18,4Ft0391aLVNtCPPseh98lp,70,pop
11,Báilame - Remix,"Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian",2018-05-11,4l3xGFwoTinvYxsePytOOf,67,pop
12,Solita,"Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty",2018-01-19,7rwX0O3RlxqqIjQM8evm5E,69,pop
13,Vaina Loca,"Ozuna, Manuel Turizo",2018-08-24,48zFZh27QU5qsrBjn4C2FA,69,pop
14,No Hay Nadie Más,Sebastian Yatra,2018-05-18,3IPJg1sdqLj12kFIndaonN,71,pop
15,God's Plan,Drake,2018-06-29,6DCZcSspjsKoFjzjrWoCdn,79,pop
16,Déjala Que Baile (with Alejandro Sanz & Arkano),"Melendi, Alejandro Sanz, Arkano",2018-03-09,2KK9N6iBAisA0booTu3bGd,59,pop
17,Pausa,IZAL,2018-03-09,2xVrFCODKe7cGjc8nkOINq,53,pop
18,Felices los 4,Maluma,2018-05-18,1RouRzlg8OKFeqc6LvdxmB,70,pop
19,Natural,Imagine Dragons,2018-11-09,2FY7b99s15jUprqC0M5NCT,76,pop
20,Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",2018-12-14,3e7sxremeOE3wTySiOhGiP,78,pop
21,Te Vi,"Piso 21, Micro TDH",2018-12-14,059bcIhyc2SBwm6sw2AZzd,72,pop
22,Happier,"Marshmello, Bastille",2018-08-17,7BqHUALzNBTanL6OvsqmC1,79,pop
23,Call Out My Name,The Weeknd,2018-03-30,09mEdoA6zrmBPgTEN5qXmN,80,pop
24,No Lie,"Sean Paul, Dua Lipa",2018-06-29,48QmG1dfvMuYLxMPt7KSRA,78,pop
25,Bad Liar,Imagine Dragons,2018-11-09,2RSHsoi04658QL5xgQVov3,76,pop
26,Let Me Down Slowly,Alec Benjamin,2018-11-16,2qxmye6gAegTMjLKEBoR3d,80,pop
27,Havana (feat. Young Thug),"Camila Cabello, Young Thug",2018-01-12,1rfofaqEpACxVEHIZBJe6W,77,pop
28,Cositas del Amor,Maka,2018-09-21,5USqXyZOu6JOb6mx5bk1Tm,50,pop
29,Consejo de Amor (feat. Morat),"TINI, Morat",2018-10-12,7GrffUxvaKz4wKmyutin0P,67,pop
30,Como Mirarte,Sebastian Yatra,2018-05-18,0CXEPVeQDLgDBfvcsQpXq1,66,pop
31,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2018-04-06,7ef4DlsgrMEH11cDZd32M6,75,pop
32,Softcore,The Neighbourhood,2018-11-02,2K7xn816oNHJZ0aVqdQsha,81,pop
33,Fast Car,"Jonas Blue, Dakota",2018-11-09,1SN1vSPsr4V4tIUTR3s8YW,72,pop
34,El Pozo,IZAL,2018-03-09,23mLKL6hhER8DHc6PBIRE2,50,pop
35,Bubalu,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",2018-11-06,7dNwJbsT0sg1le5kVugGJb,65,pop
36,I Was Never There,"The Weeknd, Gesaffelstein",2018-03-30,1cKHdTo9u0ZymJdPGSh6nq,79,pop
37,Reflections,The Neighbourhood,2018-11-02,2xql0pid3EUwW38AsywxhV,80,pop
38,Amantes de una Noche,"NATTI NATASHA, Bad Bunny",2018-01-12,2iCOdoyDmWG3hWkbtH1KB2,63,pop
39,Indios y Vaqueros,"Sinsinati, Álvaro De Luna",2018-08-01,3u5GmyJP2MU3tEJgyiAG2T,49,pop
40,Devuelveme,Ozuna,2018-08-24,5uvucCRBTkxv7VxIDLOqe7,59,pop
41,Attention,Charlie Puth,2018-05-11,5cF0dROlMOK5uNZtivgu50,78,pop
42,Amar el Conflicto (todo Lo Que Importa),Viva Suecia,2018-06-01,69WmxTgi8QNP45mKobRDpq,49,pop
43,Ibiza,"Ozuna, Romeo Santos",2018-08-24,1h9P5WJwyvK8OB7O2YiXgp,61,pop
44,Snowman,Sia,2018-11-01,7uoFMmxln0GPXQ0AcCBXRq,77,pop
45,Perfect Strangers,"Jonas Blue, JP Cooper",2018-11-09,3P3pw6C19j31Rnzgo3JG7o,73,pop
46,we fell in love in october,girl in red,2018-11-21,6IPwKM3fUUzlElbvKw2sKl,80,pop
47,Calma - Remix,"Pedro Capó, Farruko",2018-10-05,5iwz1NiezX7WWjnCgY5TH4,67,pop
48,I Like It,"Cardi B, Bad Bunny, J Balvin",2018-04-06,58q2HKrzhC3ozto2nDdN4z,72,pop
49,Dieciocho,Dani Martín,2018-04-20,3nN5n70vM1tAMWBDZaRbxS,48,pop
50,Ya No Tiene Novio,"Sebastian Yatra, Mau y Ricky",2018-08-10,7uQmJ1jgNzBpATSoWKSPFu,66,pop
51,Love Me Like You Do,Ellie Goulding,2018-02-09,0Cy7wt6IlRfBPHXXjmZbcP,75,pop
52,T.T.I.,Rauw Alejandro,2018-09-21,4gPpYLervKt4cXmhUjpYLj,58,pop
