,track_name,artist_name,release_date,id_track,popularity,genero
55,Llegamos,Quevedo,2020-12-11,3hizTOSrkSJOpHGSXrE1Ue,46,rap
56,GIRL LIKE ME,"Black Eyed Peas, Shakira",2020-11-02,1zLBsSVxETQOfINOLYvT5m,66,rap
57,Invincible,Pop Smoke,2020-02-07,792HwhrdO3ErRKL5yRe4Ge,68,rap
58,DELITO,NATHY PELUSO,2020-10-02,0K3dGPXHVALEqW8EEQGc3T,51,rap
59,Coronao Now,"El Alfa, Lil Pump",2020-05-15,1E39KEleLbU1v1cawR6jSc,57,rap
60,Entre las Luces,"Hard GZ, Lupita's Friends",2020-04-17,5n6fq6TPWqxePGhJB4n94x,41,rap
61,Latidos,"Miranda, D3llano",2020-01-29,5rvXIKgGNwF8FE23gdyaNy,41,rap
62,Malaikah,"Cruz Cafuné, Aissa",2020-05-29,2ILVmZozUjjaNrX0v3dC6D,41,rap
63,BEST INTEREST,"Tyler, The Creator",2020-01-25,3jHdKaLCkuNEkWcLVmQPCX,74,rap
64,Planteamiento Erróneo,Quevedo,2020-10-16,3bWRxb5rFHlmxo7mwDPNsO,43,rap
65,Jóvenes no tan Locos,Funzo & Baby Loud,2020-03-19,7CftjFPCNYKLLAxDHp82vz,41,rap
66,El Techo de Mi Habitación,Kaze,2020-03-07,03h7EC10LDCqax6lk4g9vj,41,rap
67,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",2020-04-17,7ytR5pFWmSjzHJIeQkgog4,70,rap
68,El Gordo Que la Pisa Bien,"Kase.O, Harto, Escandaloso Xpósito",2020-12-31,3geFUUwPEbPsT6Tbj0lRb8,45,rap
69,La Última,DukeeMdz,2020-11-05,1FPbxEVurdqXy4GGk46ude,41,rap
70,Runnin,"21 Savage, Metro Boomin",2020-10-02,5SWnsxjhdcEDc7LJjq9UHk,75,rap
71,Carré VIP,Naps,2020-02-28,1caMoxlA0lk9jDCLCXLEoe,53,rap
72,Glock In My Lap,"21 Savage, Metro Boomin",2020-10-02,6pcywuOeGGWeOQzdUyti6k,74,rap
73,Qué bien te quedaba,Walls,2020-11-27,22WO8XRRCDhoCUtcLQtl9C,43,rap
74,Our Time,Lil Tecca,2020-09-18,2WxUIiq06XXPYWl9YcRJnD,69,rap
75,Hasta el amanecer,Natos y Waor,2020-05-29,4BqWFdof5Lct3HBtD8ZzOZ,41,rap
76,Party Girl,StaySolidRocky,2020-07-15,3IJYUaN3tx04S4TYyZHKoP,70,rap
77,BUENOS AIRES,NATHY PELUSO,2020-10-02,2my7K20Fv5OtE27cjG9sfu,56,rap
78,Aprendiendo El Sexo,Bad Gyal,2020-07-31,4ZjtBYFciJkcj3K741Ij1d,43,rap
79,Wishing Well,Juice WRLD,2020-07-10,2U5WueTLIK5WJLD7mvDODv,74,rap
80,Me noto distinto,"Mayo 214, Fulston, La Cantera",2020-05-20,69tSXUB3uyKXXRtkQwYvzI,41,rap
81,Doble Tick Azul,"Cruz Cafuné, Sofi de la Torre",2020-01-10,0yMITXNSc0ZQ4ladG3gDhy,41,rap
