,track_name,artist_name,release_date,id_track,popularity,genero
0,Exoplaneta,Arde Bogotá,2021-05-07,68PEuXNjodWFts3Ph4BPVv,56,indie
1,La Gent Que Estimo,"Oques Grasses, Rita Payés",2021-05-28,2aTvlIMGoo2L9x5YzJNjj5,57,indie
2,Cariño,Arde Bogotá,2021-05-07,7uWmMWEBGlBAm5B0oMpcs8,54,indie
3,Elefants,Oques Grasses,2021-05-28,7aMxgxCCbkmtRpNNB5OWgY,54,indie
4,Te debo una canción,Shinova,2021-02-26,6E4Z9YuZz9VA7NxXxshXQx,52,indie
5,La sonrisa intacta,Shinova,2021-02-26,52Pxn490S6sTjhXgyfeSbk,52,indie
6,Abajo,Arde Bogotá,2021-05-07,45ucex4am8ru040h5mhxuo,52,indie
7,A ver qué pasa - Estrella Damm 2021,Rigoberta Bandini,2021-06-16,2F76kzOWgd3n6GwoKpRSTX,52,indie
8,El Beso,Arde Bogotá,2021-05-07,325R4okpFnhCZ8guXOH0Ah,51,indie
9,I WANNA BE YOUR SLAVE,Måneskin,2021-03-19,4pt5fDVTg5GhEvEtlz9dKk,77,indie
10,Freaks,Surf Curse,2021-05-15,7EkWXAI1wn8Ii883ecd9xr,79,indie
11,Inercia,IZAL,2021-10-29,0vz6zBI9fKo2vTWCUJKz4P,48,indie
12,Ay Mamá,Rigoberta Bandini,2021-12-23,0khVEzctbwmqLvOpg1ecbg,48,indie
13,Millennial,Arde Bogotá,2021-05-07,7JQT8PH2xysd0MXWNyIfNd,47,indie
14,Interludio,Robe,2021-04-30,4smdWRLMv9hhhZbLnJ63ds,48,indie
15,Miraflores,La Maravillosa Orquesta del Alcohol,2021-12-17,78CC6Od9HAoF0wy16X3gzr,48,indie
16,Tan Alto Como Tus Dudas,Arde Bogotá,2021-05-07,7e9xg44WcBozcJYlfJY9QY,46,indie
17,De Bonesh,Oques Grasses,2021-05-28,5ObiVsgtKaynGBIVwjzhGb,46,indie
18,Finisterre,Vetusta Morla,2021-11-25,5FhTo7yj2umChnDdqch8oG,47,indie
19,Petar-ho,Oques Grasses,2021-05-28,6uA2ws8LIx8zUMEsBwEWAA,46,indie
20,ZITTI E BUONI,Måneskin,2021-03-19,776AftMmFFAWUIEAb3lHhw,68,indie
21,Something About You,"Eyedress, Dent May",2021-08-27,6RiiSy9GzSwiyDEJDiMuKe,78,indie
22,Subeme al Cielo,"Siloé, Dani Fernández",2021-05-13,35RJLgMhb5EYmbZruwYb0D,45,indie
23,Hacerte Volar,Lori Meyers,2021-10-21,5niljBPoCaUyf3T86HCPKj,45,indie
24,Diazepam,"Leiva, Natalia Lafourcade",2021-12-03,2KrXkY8yRsncGk2kXPD4Zt,48,indie
25,Wake Up,"Oques Grasses, Stay Homas",2021-05-28,2jFX7KfdsikRQRzdqKGvqw,45,indie
26,Segundo movimiento: Mierda de filosofía,Robe,2021-04-30,63Zg2q0NxOIoVu7olYHl9t,45,indie
27,CORALINE,Måneskin,2021-03-19,7HMz8o0m7ASQ3ImFPfhWTY,66,indie
28,Notion,The Rare Occasions,2021-12-02,0sTlGEld0h8kIPZaKDYUf4,75,indie
29,Ja No Fa Mal,"La Fúmiga, Samantha",2021-11-05,1cIiGsppYv1pkDPfcuIkDA,44,indie
30,Premio de Consolación,"Leiva, Natalia Lacunza",2021-12-03,5gcUEklXEEtWnkjRfKzMvi,45,indie
31,Tek It,Cafuné,2021-07-20,751srcHf5tUqcEa9pRCQwP,77,indie
32,Nora,Niña Polaca,2021-09-24,1T0BbqlWWVVtlsrLtvBHpz,43,indie
33,Tercer movimiento: Un instante de luz,Robe,2021-04-30,3jwMdFuOiSCznlA8qrFvt3,44,indie
34,I Follow Rivers - The Magician Remix,"Lykke Li, The Magician",2021-07-16,3zNNXjjjeLrzIXSJZKalDi,65,indie
35,Histéricos,"Leiva, Ximena Sariñana",2021-12-03,0b7VF2YIpjMOtcTh2NAPX7,45,indie
36,La sonrisa intacta,Shinova,2021-02-24,6r72Bmd4lhdCmCY0D0DNxd,43,indie
37,Stranger Things,"Leiva, Zahara",2021-12-03,011dHmNnbheqKSHDVlEAHn,43,indie
38,Flecha,"Leiva, Elsa y Elmar",2021-12-03,1vmSs9UqHEF09fw75pDVXG,46,indie
39,Mi Carro,Arde Bogotá,2021-09-28,2lmGu4Gn1JuWWUDQOUMgn6,42,indie
