,track_name,artist_name,release_date,id_track,popularity,genero
0,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022-07-06,2tTmW7RDtMQtBk7m2rYeSw,76,pop
1,La Bachata,Manuel Turizo,2022-05-26,5ww2BF9slyYgNOk37BlC4u,74,pop
2,Quién Diría,DePol,2022-04-08,0Fd3900xH77g0ARXQjtYvV,61,pop
3,Las Cosas Pequeñitas,Marta Santos,2022-04-22,5LU8Lk8uSCdMgBaqcTujmi,61,pop
4,Sin Vergüenza,"Arde Bogotá, Dani Fernández",2022-07-07,0mJ2qmDI2X4wrSIIBrvvpN,59,pop
5,Feliz Cumpleaños Ferxxo,Feid,2022-09-14,2CeKVsFFXG4QzA415QygGb,77,pop
6,Que nada nos pare (lo más importante),"ELYELLA, La La Love You",2022-06-30,1FG7ZjnuT0O9CsDKOxND0E,58,pop
7,El Bien,Viva Suecia,2022-10-06,6IuZFiKCeyQINqL0Id3xF2,58,pop
8,Hey Mor,"Ozuna, Feid",2022-10-07,1zsPaEkglFvxjAhrM8yhpr,73,pop
9,Normal,Feid,2022-09-14,0T2pB7P1VdXPhLdQZ488uH,75,pop
10,Qué Bonita,DePol,2022-11-25,31TmMW92lP0UoxtAaF89hU,58,pop
11,I'm Good (Blue),"David Guetta, Bebe Rexha",2022-08-26,4uUG5RXrOk84mYEfFvj3cK,81,pop
12,As It Was,Harry Styles,2022-05-20,4Dvkj6JhhA12EX05fT7y2e,83,pop
13,Fuera del mercado,Danny Ocean,2022-02-17,1UdzJEpgJxtuXAlCOvD4S0,73,pop
14,mariposas,"sangiovanni, Aitana",2022-06-02,5R2hNuiiwnKVAUNktF9j2Y,58,pop
15,SI ELLA SUPIERA,"India Martinez, Melendi",2022-12-02,0quM3iWAOKw9OGIMBsppSC,58,pop
16,No Hemos Aprendido Nada,Viva Suecia,2022-10-06,23EYaP0VXowC6oT9DiY3QR,56,pop
17,La Bachata,Marta Santos,2022-09-22,46dmazd1o2QIs1DfjyyTx5,57,pop
18,CHORRITO PA LAS ANIMAS,Feid,2022-12-02,0CYTGMBYkwUxrj1MWDLrC5,73,pop
19,Pareja Del Año,"Sebastian Yatra, Myke Towers",2022-01-28,655JkvIwu2rDCaD1hPf04g,70,pop
20,Ferxxo 100,Feid,2022-09-14,1sbNEFiURUYfy024cJX8JG,73,pop
21,Volare,Danny Ocean,2022-11-10,7nE9H4e4uPOis5sJY39fOc,73,pop
22,End of Beginning,Djo,2022-09-16,3qhlB30KknSejmIvZZLjOD,85,pop
23,Diablo,"Beret, Estopa",2022-11-11,0CLVh9I8uHfuyorOdLFim7,57,pop
24,Y te voy a querer,Antoñito Molina,2022-02-04,6ejDR4zHUdTUuzdnwuCrHK,56,pop
25,Tacones Rojos,Sebastian Yatra,2022-01-28,6ylDpki1VpIsc525KC1ojF,69,pop
26,Hablar De Nada,Viva Suecia,2022-10-06,6PLIfuZYh2IrRNqJIEH26S,55,pop
27,DESPECHÁ,ROSALÍA,2022-07-28,5ildQOEKmJuWGl2vRkFdYc,68,pop
28,FUE,Manuel Carrasco,2022-11-24,69billX7itLzkgWjqWSFFn,55,pop
29,Envuelto en llamas,Marta Santos,2022-06-03,2AQ5hqdrS6qS81R6nHgLw4,55,pop
30,Camiseta de Rokanrol,"Estopa, Fito y Fitipaldis",2022-02-24,1eHr7GbGrNMIb01YUwLdku,54,pop
31,Quiero Decirte,"Abraham Mateo, Ana Mena",2022-05-12,7dT6ccDqmMHvz5C0d8iUND,55,pop
32,Quieres,"Aitana, Emilia, Ptazeta",2022-07-21,4iGnpp1h0i33lpoP42Y8Jt,58,pop
33,Me estoy volviendo loco,Antoñito Molina,2022-02-04,2BwrXqrvawHTSUjncMivxP,54,pop
34,Clima Tropical,Dani Fernández,2022-02-18,7JFa80j5Cw6DMf8RISgd0t,53,pop
35,Dile a los demás,Dani Fernández,2022-02-18,71J4vM6OnOl9Bs99CaS2dq,53,pop
36,Lo Siento,"Viva Suecia, Dani Fernández",2022-10-06,6RM3IZHeEwhvTXxfquDbZN,53,pop
37,Si tus piernas,Dani Fernández,2022-02-18,5wqwUPr7DbRT6FogXVmWWj,53,pop
38,Dharma,"Sebastian Yatra, Jorge Celedón, Rosario",2022-01-28,5tpAcJ47UgF4udM5YXcDd2,58,pop
39,Amigos (con Maria Becerra),"Pablo Alborán, Maria Becerra",2022-12-01,20NeR3CwuyGfRktTncKRU7,62,pop
40,DESPECHÁ,ROSALÍA,2022-09-09,53tfEupEzQRtVFOeZvk7xq,69,pop
41,LAS 12,"Ana Mena, Belinda",2022-06-17,0EpdLuptraYGFZ6J7HNSLc,56,pop
42,Justo Cuando El Mundo Apriete,"Viva Suecia, Leiva",2022-10-06,1C2aofmIOndmXAtrHeJ3YC,53,pop
43,Porfa no te vayas,"Beret, Morat",2022-11-11,2XA5q5FBwqrlkGBzzOOVeK,63,pop
44,MAMIII,"Becky G, KAROL G",2022-05-13,7FlQk2gJ6TBrHHiidvdR2O,70,pop
45,Cerquita de Mí,Marta Santos,2022-07-15,661LWfw9LjFUFtrNDhgekb,52,pop
46,Bones,Imagine Dragons,2022-07-01,54ipXppHLA8U4yqpOFTUhr,77,pop
47,LA FAMA,"ROSALÍA, The Weeknd",2022-03-18,6Y46tOTRhkBamosyuWa6YX,68,pop
48,Si Te La Encuentras Por Ahí,Feid,2022-09-14,2vsoD8S1OyrWSVIA43hjaU,64,pop
49,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2022-06-08,4hceSKjrkDTO0nMKFcb3sj,64,pop
50,Debí Suponerlo,Morat,2022-11-04,2pIIRKRwWSi1Sb29VYLOOa,69,pop
51,Te Felicito,"Shakira, Rauw Alejandro",2022-04-21,2rurDawMfoKP4uHyb2kJBt,67,pop
52,Ya no me muero por nadie,Antoñito Molina,2022-02-04,6McW3rivyQPC2tBFwL7O43,54,pop
53,"Duki: Bzrp Music Sessions, Vol. 50","Bizarrap, Duki",2022-11-16,7MkylDYvKTSuWgrsBhHlsG,62,pop
54,Salir Con Vida,"Morat, Feid",2022-11-04,0cubEBmB9wjsdBwXNFmzFy,67,pop
55,Chica Ideal,"Sebastian Yatra, Guaynaa",2022-01-28,4lCpamtFAIUga83gTKP8RY,66,pop
56,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",2022-07-01,3CIyK1V4JEJkg02E4EJnDl,76,pop
57,MAMIII,"Becky G, KAROL G",2022-02-10,1ri9ZUkBJVFUdgwzCnfcYs,66,pop
58,MUSEO,Rauw Alejandro,2022-02-25,6WfxIJKmYRSpsBJv0tEAKX,66,pop
59,TV,Billie Eilish,2022-07-21,3GYlZ7tbxLOxe6ewMNVTkw,81,pop
60,como si no importara,"Emilia, Duki",2022-05-31,7M0mBls29IohQIPGqegcyE,62,pop
61,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",2022-04-15,0VO8gYVDSwM1Qdd2GsMoYK,76,pop
62,Made You Look,Meghan Trainor,2022-10-21,0QHEIqNKsMoOY5urbzN48u,75,pop
63,Prohibidox,Feid,2022-09-14,3PpWCS95gDUDRPko3u1MZ9,68,pop
64,Solo Conmigo,Romeo Santos,2022-09-01,22iCMlT0xYryKNnz4X5Vwn,65,pop
65,I Ain't Worried,OneRepublic,2022-05-13,4h9wh7iOZ0GGn8QVp4RAOB,77,pop
66,Kill Bill,SZA,2022-12-08,1Qrg8KqiBpW07V7PNxwwwL,83,pop
67,Nonsense,Sabrina Carpenter,2022-07-15,6dgUya35uo964z7GZXM07g,82,pop
68,Segundos Platos,Morat,2022-11-04,1pHZf30WYm6CQukt7TvNPM,67,pop
69,Calm Down (with Selena Gomez),"Rema, Selena Gomez",2022-08-25,0WtM2NBVQNNJLh6scP13H8,76,pop
70,506,"Morat, Juanes",2022-11-04,4Q1oBLFPK9R4eUHkNlihlF,64,pop
71,Stick Season,Noah Kahan,2022-10-14,0mflMxspEfB0VbI1kyLiAv,83,pop
72,AUTOMÁTICO,Maria Becerra,2022-12-08,0poQY3RMThmIiutOGv3yH3,62,pop
73,NIGHTS LIKE THESE,Benson Boone,2022-07-29,33vZRjxJScapmRShRJq8I0,76,pop
74,Anti-Hero,Taylor Swift,2022-10-21,0V3wPSX9ygBnCm8psDIegu,78,pop
75,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2022-03-04,0QBzMgT7NIeoCYy3sJCof1,68,pop
76,Romantic Homicide,d4vd,2022-07-20,1xK59OXxi2TAAAbmZK0kBL,81,pop
77,Le Pido a DIOS,"Feid, DJ Premier",2022-12-02,4TFNKnMWjcMWzpkSwQrrcu,66,pop
78,SIRI,"Romeo Santos, Chris Lebron",2022-09-01,5S4aEL1BMsgLvCSt4BijHd,62,pop
79,Si Te La Encuentras Por Ahí,Feid,2022-08-05,02jLfqc9gMo8PkHEGHY3OT,57,pop
80,Belly Dancer,"Imanbek, BYOR",2022-02-18,7fZBQnc0zXwVybgCIrQQil,73,pop
81,Snooze,SZA,2022-12-09,4iZ4pt7kvcaH6Yo8UoZ4s2,85,pop
82,Normal,Feid,2022-07-08,2z9YkcLojiOE7Eu2p9lPZR,63,pop
83,Ferrari,"James Hype, Miggy Dela Rosa",2022-04-01,4zN21mbAuaD0WqtmaTZZeP,73,pop
84,Heaven Takes You Home (feat. Connie Constance),"Swedish House Mafia, Connie Constance",2022-04-15,3nEHrvNNtgLv9rneTAYVr4,71,pop
85,Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",2022-06-17,7MIhUdNJtaOnDmC5nBC1fb,72,pop
