,track_name,artist_name,release_date,id_track,popularity,genero
52,Cómo Me Voy a Olvidar,"Delaossa, EAZYBOI",2022-10-28,0oNUaPy2lpG1kWsXm4FV9g,44,rap
53,Get Busy,Sean Paul,2022-11-11,6bK9BH9Ts8Gj5JFvnQkzak,72,rap
54,Wild Flower (with youjeen),"RM, Youjeen",2022-12-02,1AZjCZSGEjlxUufFQwSszF,71,rap
55,Count Me Out,Kendrick Lamar,2022-05-13,6BU1RZexmvJcBjgagVVt3M,74,rap
56,Riquelme & Okocha,"Ergo Pro, Ill Pekeño, Gese Da O",2022-11-17,32BEfuCqjUgQW472NCHhK8,44,rap
57,Este Fin De Año,"Kadec Santa Anna, TTM Prod",2022-12-09,3apQIrFK6nptNBsx1ySxSo,43,rap
58,Guajiro,"Ayax y Prok, Dollar Selmouni, Dj Keru",2022-02-25,609cIr1XRRW2CugWafHTWi,44,rap
59,Guitarra y Sombrero,Samuel SLZR,2022-05-19,2QvFxyDS5SIt4E0u69ZAOB,43,rap
60,United In Grief,Kendrick Lamar,2022-05-13,5Gt9bxniM1SxN61yRzRhXL,73,rap
61,Love Lost,"Mac Miller, The Temper Trap",2022-07-22,2z9iuAxKv4TTeCrPAxxKg9,73,rap
62,No Se Emula,Cruz Cafuné,2022-09-30,0xAzuY0lzB7dsb8j0nDqCp,43,rap
63,Deporvidas,Cruz Cafuné,2022-07-08,3m074dbYxbEfrPdbCdhnCS,43,rap
64,La Góndola,"Ayax y Prok, Blasfem",2022-02-25,6HiEyMBO66WXXE2UDzLOby,43,rap
65,Jump Around - 30 Years Remaster,House Of Pain,2022-07-22,7L93GESzq43UkKUt5FsOCq,71,rap
66,Hasta que salga el sol,"Natos y Waor, Recycled J",2022-09-13,6xRglH0lCDxiHEjbDRxT3v,42,rap
67,Ki-Fi,"Samuel SLZR, Dawson Beats",2022-02-22,58voS8cp87wDBIx60NCnXK,42,rap
68,N95,Kendrick Lamar,2022-05-13,0fX4oNGBWO3dSGUZcVdVV2,73,rap
69,EL POEMA,Funzo & Baby Loud,2022-02-11,2JSH1FfnlCQUjCqDmdvIbt,42,rap
70,Kill Bill,SZA,2022-12-09,3OHfY25tqY28d16oZczHc8,75,rap
71,DON'T YOU WORRY,"Black Eyed Peas, Shakira, David Guetta",2022-06-17,0gYXw7aPoybWFfB7btQ0eM,61,rap
72,Dame calor,Natos y Waor,2022-09-13,62d7z0IxvALeYUTOvUlCiw,42,rap
73,Europa,"Jul, Morad, Rhove, Elai",2022-12-07,67KWWEkbl4RmmhLUd4drKH,52,rap
74,Los Aparatos,"El Alfa, Noriel, Trueno",2022-08-03,00Wjqwj4pJFwhEKciAMZf7,54,rap
75,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",2022-05-13,2g6tReTlM2Akp41g0HaeXN,73,rap
76,Te Pone Bien - Con Kase.O,"Sho-Hai, Kase.O, Accion Sanchez",2022-09-23,7p5K4VHNBTunzo6Fs0fPHP,45,rap
77,Curazao,"El Alfa, Farruko",2022-11-22,4VO6rhOKPyH6RogCTPeQqO,56,rap
78,Europa,"Jul, Elai, Rhove, Morad",2022-12-09,0Uqveszt9FgnjgE3sGsCdS,51,rap
79,Bogota,"Naps, Morad, Alonzo",2022-06-17,4cBHYynAohb1fHOtIDiNCX,47,rap
80,To' Lo Cura El Tiempo,"Cano, Los del Control",2022-06-24,3o8C37FR1RKo4NyIjBaOGJ,40,rap
81,Silencio,"Hard GZ, Nikone, Lupita's Friends",2022-03-24,4aR23ea7WfM0I6HTHLJSiT,40,rap
82,MUEVELO,"Black Eyed Peas, Anuel AA, Marshall Jefferson",2022-11-09,6r0bDGDS8JJShneQkMAzj1,44,rap
83,MORE,j-hope,2022-07-15,7GARzfC1mwhDuk4t9WOACq,68,rap
84,Good Days,SZA,2022-12-09,4PMqSO5qyjpvzhlLI5GnID,78,rap
85,Toxic,BoyWithUke,2022-05-06,3M214U0mwSm041GsQR3nrO,69,rap
86,Low,SZA,2022-12-09,2GAhgAjOhEmItWLfgisyOn,76,rap
87,Duele Pero Cura,EZVIT 810,2022-09-30,5mfEWAwIKghcqLsBelYTzI,43,rap
88,FULANITO,"Becky G, El Alfa",2022-05-13,3CIl8hlnMcULSIIhUMmB1Z,56,rap
89,Estás con él - Acústico,"Wos LasPalmas, Quevedo",2022-01-07,0o2P8Vla2FKmmdX25rHvMr,43,rap
90,Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",2022-10-31,1udwFobQ1JoOdWPQrp2b6u,75,rap
91,Pianos de Cloaca,LosNiñosDelCaminito,2022-12-16,6LA0Q9ITTy4RYWIhF28ZbT,40,rap
92,Rich Spirit,Kendrick Lamar,2022-05-13,1QPreu0BNOrUfEb8HTd2qG,72,rap
