año,CCAA,tasa_paro
2002,Andalucía,24.931904761904764
2002,Aragón,9.475714285714286
2002,Asturias,15.213452380952381
2002,Baleares,11.208095238095238
2002,Canarias,15.212023809523808
2002,Cantabria,15.7775
2002,Castilla y León,16.669642857142858
2002,Castilla-La Mancha,13.356785714285715
2002,Cataluña,15.17392857142857
2002,Ceuta,13.289880952380951
2002,España,16.35607142857143
2002,Extremadura,24.987142857142857
2002,Galicia,17.008690476190477
2002,La Rioja,9.6525
2002,Madrid,11.076547619047618
2002,Melilla,5.755
2002,Murcia,15.959285714285713
2002,Navarra,9.634642857142858
2002,País Vasco,15.892619047619048
2002,Valencia,15.198333333333334
2003,Andalucía,23.850238095238097
2003,Aragón,11.216309523809523
2003,Asturias,19.285833333333333
2003,Baleares,15.787380952380953
2003,Canarias,17.18916666666667
2003,Cantabria,15.167738095238095
2003,Castilla y León,17.54797619047619
2003,Castilla-La Mancha,13.75345238095238
2003,Cataluña,16.594166666666666
2003,Ceuta,16.68095238095238
2003,España,16.801547619047618
2003,Extremadura,21.246190476190478
2003,Galicia,17.541428571428572
2003,La Rioja,10.230952380952381
2003,Madrid,11.770476190476192
2003,Melilla,13.345595238095237
2003,Murcia,14.830119047619048
2003,Navarra,9.70547619047619
2003,País Vasco,16.027023809523808
2003,Valencia,15.074166666666667
2004,Andalucía,21.882023809523808
2004,Aragón,9.792380952380952
2004,Asturias,18.363333333333333
2004,Baleares,13.534285714285712
2004,Canarias,18.5025
2004,Cantabria,16.48452380952381
2004,Castilla y León,16.45690476190476
2004,Castilla-La Mancha,13.108333333333333
2004,Cataluña,15.248452380952383
2004,Ceuta,20.985
2004,España,16.10809523809524
2004,Extremadura,22.62666666666667
2004,Galicia,18.8775
2004,La Rioja,8.896309523809524
2004,Madrid,11.183333333333334
2004,Melilla,22.530238095238094
2004,Murcia,14.677380952380954
2004,Navarra,10.073571428571428
2004,País Vasco,17.034404761904764
2004,Valencia,15.189880952380953
2005,Andalucía,18.95702380952381
2005,Aragón,9.062619047619048
2005,Asturias,16.61095238095238
2005,Baleares,13.262738095238095
2005,Canarias,18.515
2005,Cantabria,12.989166666666666
2005,Castilla y León,13.430357142857144
2005,Castilla-La Mancha,13.995
2005,Cataluña,11.285238095238096
2005,Ceuta,30.819629629629627
2005,España,14.163809523809524
2005,Extremadura,22.545714285714286
2005,Galicia,15.250119047619048
2005,La Rioja,10.835833333333333
2005,Madrid,11.338095238095239
2005,Melilla,25.113055555555558
2005,Murcia,11.707142857142857
2005,Navarra,9.629880952380953
2005,País Vasco,12.885714285714286
2005,Valencia,14.095
2006,Andalucía,17.20380952380952
2006,Aragón,9.25297619047619
2006,Asturias,14.64642857142857
2006,Baleares,10.662619047619048
2006,Canarias,17.98071428571429
2006,Cantabria,12.31132530120482
2006,Castilla y León,12.788333333333334
2006,Castilla-La Mancha,13.17452380952381
2006,Cataluña,10.591666666666667
2006,Ceuta,35.82271604938271
2006,España,13.242261904761904
2006,Extremadura,19.15285714285714
2006,Galicia,12.598928571428571
2006,La Rioja,10.474819277108434
2006,Madrid,11.040833333333333
2006,Melilla,19.793733333333332
2006,Murcia,12.742261904761904
2006,Navarra,9.045119047619048
2006,País Vasco,14.90952380952381
2006,Valencia,13.153928571428573
2007,Andalucía,17.896547619047617
2007,Aragón,9.583333333333334
2007,Asturias,13.362976190476191
2007,Baleares,11.201904761904762
2007,Canarias,16.71666666666667
2007,Cantabria,9.717380952380953
2007,Castilla y León,12.654285714285715
2007,Castilla-La Mancha,11.862023809523809
2007,Cataluña,10.2625
2007,Ceuta,28.618170731707316
2007,España,13.157261904761905
2007,Extremadura,18.891666666666666
2007,Galicia,11.81452380952381
2007,La Rioja,10.915119047619047
2007,Madrid,11.606785714285715
2007,Melilla,25.458717948717947
2007,Murcia,12.155714285714286
2007,Navarra,8.311190476190475
2007,País Vasco,12.296309523809525
2007,Valencia,13.602857142857141
2008,Andalucía,24.051309523809522
2008,Aragón,13.358571428571427
2008,Asturias,15.20345238095238
2008,Baleares,16.903333333333336
2008,Canarias,24.818095238095236
2008,Cantabria,12.839761904761904
2008,Castilla y León,16.494285714285713
2008,Castilla-La Mancha,16.97047619047619
2008,Cataluña,14.295
2008,Ceuta,26.45345238095238
2008,España,17.616190476190475
2008,Extremadura,22.52261904761905
2008,Galicia,14.563928571428571
2008,La Rioja,15.780119047619047
2008,Madrid,14.789285714285715
2008,Melilla,31.791874999999997
2008,Murcia,16.950238095238095
2008,Navarra,14.093333333333332
2008,País Vasco,13.801309523809524
2008,Valencia,18.545357142857142
2009,Andalucía,33.92714285714286
2009,Aragón,20.525952380952383
2009,Asturias,24.250119047619048
2009,Baleares,24.914285714285718
2009,Canarias,34.968809523809526
2009,Cantabria,20.61904761904762
2009,Castilla y León,22.992738095238096
2009,Castilla-La Mancha,26.74702380952381
2009,Cataluña,25.363809523809522
2009,Ceuta,28.443703703703704
2009,España,26.851547619047622
2009,Extremadura,30.426904761904762
2009,Galicia,20.50202380952381
2009,La Rioja,22.9
2009,Madrid,23.600833333333334
2009,Melilla,32.29246575342466
2009,Murcia,26.452738095238097
2009,Navarra,19.47440476190476
2009,País Vasco,20.18880952380952
2009,Valencia,29.24011904761905
2010,Andalucía,37.6927380952381
2010,Aragón,22.8725
2010,Asturias,25.869880952380953
2010,Baleares,31.413214285714286
2010,Canarias,38.766547619047614
2010,Cantabria,24.46595238095238
2010,Castilla y León,24.162738095238097
2010,Castilla-La Mancha,31.293571428571425
2010,Cataluña,27.78440476190476
2010,Ceuta,41.573375
